cohort,event_type,feature,auc,n_events,n_controls
vitaldb,hypotension,std_pa_min,0.5320849476251972,505,483
vitaldb,hypotension,std_pa_max,0.6632064448680893,505,483
vitaldb,hypotension,std_pa_slope,0.6751763361598666,505,483
vitaldb,hypotension,rsa_mean,0.6138165497594669,505,483
vitaldb,hypotension,rsa_std,0.6024477100613055,505,483
vitaldb,hypotension,rsa_min,0.5078610013706362,505,483
vitaldb,hypotension,rsa_max,0.6081010866546624,505,483
vitaldb,hypotension,rsa_slope,0.6057189321046212,505,483
vitaldb,hypertension,brs_mean,0.5287061351157795,75,483
vitaldb,hypertension,brs_std,0.5204105991883504,75,483
vitaldb,hypertension,brs_min,0.6046938410121747,75,483
vitaldb,hypertension,brs_max,0.5043566483647648,75,483
vitaldb,hypertension,brs_slope,0.5360766292671282,75,483
vitaldb,hypertension,sdnn_mean,0.6144099378881988,75,483
vitaldb,hypertension,sdnn_std,0.5884759916492692,75,483
vitaldb,hypertension,sdnn_min,0.5329192546583851,75,483
vitaldb,hypertension,sdnn_max,0.6311111111111112,75,483
vitaldb,hypertension,sdnn_slope,0.6030897703549061,75,483
vitaldb,hypertension,rmssd_mean,0.6040303657694962,75,483
vitaldb,hypertension,rmssd_std,0.5915935977731386,75,483
vitaldb,hypertension,rmssd_min,0.5233264320220842,75,483
vitaldb,hypertension,rmssd_max,0.6334299516908213,75,483
vitaldb,hypertension,rmssd_slope,0.6082393876130828,75,483
vitaldb,hypertension,pnn50_mean,0.6275914423740512,75,483
vitaldb,hypertension,pnn50_std,0.6370494084899094,75,483
vitaldb,hypertension,pnn50_min,0.5195721187025535,75,483
vitaldb,hypertension,pnn50_max,0.7193512767425811,75,483
vitaldb,hypertension,pnn50_slope,0.5888935281837161,75,483
vitaldb,hypertension,arv_mean,0.531511387163561,75,483
vitaldb,hypertension,arv_std,0.7807933194154488,75,483
vitaldb,hypertension,arv_min,0.6772946859903382,75,483
vitaldb,hypertension,arv_max,0.7739406487232574,75,483
vitaldb,hypertension,arv_slope,0.5664857341684064,75,483
vitaldb,hypertension,cv_pa_mean,0.6031193926846101,75,483
vitaldb,hypertension,cv_pa_std,0.710285316631872,75,483
vitaldb,hypertension,cv_pa_min,0.6392546583850932,75,483
vitaldb,hypertension,cv_pa_max,0.7035748792270531,75,483
vitaldb,hypertension,cv_pa_slope,0.7141544885177453,75,483
vitaldb,hypertension,std_pa_mean,0.6536369910282954,75,483
vitaldb,hypertension,std_pa_std,0.7196102992345164,75,483
vitaldb,hypertension,std_pa_min,0.5956659765355418,75,483
vitaldb,hypertension,std_pa_max,0.7175707384403036,75,483
vitaldb,hypertension,std_pa_slope,0.7595267919276271,75,483
vitaldb,hypertension,rsa_mean,0.5825262484367275,75,483
vitaldb,hypertension,rsa_std,0.5381501182033096,75,483
vitaldb,hypertension,rsa_min,0.504551667975453,75,483
vitaldb,hypertension,rsa_max,0.5602768810167815,75,483
vitaldb,hypertension,rsa_slope,0.5671860952951753,75,483
vitaldb,variability,brs_mean,0.6166941573066151,2442,483
vitaldb,variability,brs_std,0.6076202139721487,2442,483
vitaldb,variability,brs_min,0.5682784483007536,2442,483
vitaldb,variability,brs_max,0.6066152585684175,2442,483
vitaldb,variability,brs_slope,0.5085811460716732,2442,483
vitaldb,variability,sdnn_mean,0.7029803660238443,2442,483
vitaldb,variability,sdnn_std,0.6850606257517731,2442,483
vitaldb,variability,sdnn_min,0.5919926137317442,2442,483
vitaldb,variability,sdnn_max,0.6788842767103637,2442,483
vitaldb,variability,sdnn_slope,0.5477617140022433,2442,483
vitaldb,variability,rmssd_mean,0.678777450516581,2442,483
vitaldb,variability,rmssd_std,0.6784087295552267,2442,483
vitaldb,variability,rmssd_min,0.5720754633798112,2442,483
